Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),,Size,Color,Season,Review Rating,Subscription Status,Payment Method,,Discount Applied,Promo Code Used,Previous Purchases,Preferred Payment Method,Frequency of Purchases
1,55,Male,Blouse,Clothing,53,,L,Gray,Winter,3.1,Yes,cash,,Yes,Yes,14,lay bye,Fortnightly
2,19,Male,Sweater,Clothing,64,,L,Maroon,Winter,3.1,Yes,Bank Transfer,,Yes,Yes,2,Cash,Fortnightly
3,50,Male,Jeans,Clothing,73,,S,Maroon,Spring,3.1,Yes,Cash,,Yes,Yes,23,laybye,Weekly
4,21,Male,Sandals,Footwear,90,,M,Maroon,Spring,3.5,Yes,cash,,Yes,Yes,49,cash,Weekly
5,45,Male,Blouse,Clothing,49,,M,Turquoise,Spring,2.7,Yes,Cash,,Yes,Yes,31,cash,Annually
6,46,Male,Sneakers,Footwear,20,,M,White,Summer,2.9,Yes,laybye,,Yes,Yes,14,laybye,Weekly
7,63,Male,Shirt,Clothing,85,,M,Gray,Fall,3.2,Yes,cash,,Yes,Yes,49,Cash,Quarterly
8,27,Male,Shorts,Clothing,34,,L,Charcoal,Winter,3.2,Yes,cash,,Yes,Yes,19,cash,Weekly
9,26,Male,Coat,Outerwear,97,,L,Silver,Summer,2.6,Yes,cash,,Yes,Yes,8,cash,Annually
10,57,Male,Handbag,Accessories,31,,M,Pink,Spring,4.8,Yes,laybye,,Yes,Yes,4,Cash,Quarterly
11,53,Male,Shoes,Footwear,34,,L,Purple,Fall,4.1,Yes,cash,,Yes,Yes,26,Bank Transfer,Bi-Weekly
12,30,Male,Shorts,Clothing,68,,S,Olive,Winter,4.9,Yes,cash,,Yes,Yes,10,Bank Transfer,Fortnightly
13,61,Male,Coat,Outerwear,72,,M,Gold,Winter,4.5,Yes,cash,,Yes,Yes,37,laybye,Fortnightly
14,65,Male,Dress,Clothing,51,,M,Violet,Spring,4.7,Yes,laybye,,Yes,Yes,31,cash,Weekly
15,64,Male,Coat,Outerwear,53,,L,Teal,Winter,4.7,Yes,laybye,,Yes,Yes,34,Cash,Weekly
16,64,Male,Skirt,Clothing,81,,M,Teal,Winter,2.8,Yes,laybye,,Yes,Yes,8,Cash,Monthly
17,25,Male,Sunglasses,Accessories,36,,S,Gray,Spring,4.1,Yes,cash,,Yes,Yes,44,laybye,Bi-Weekly
18,53,Male,Dress,Clothing,38,,XL,Lavender,Winter,4.7,Yes,cash,,Yes,Yes,36,laybye,Quarterly
19,52,Male,Sweater,Clothing,48,,S,Black,Summer,4.6,Yes,Bank Transfer,,Yes,Yes,17,Cash,Weekly
20,66,Male,Pants,Clothing,90,,M,Green,Summer,3.3,Yes,laybye,,Yes,Yes,46,laybye,Bi-Weekly
21,21,Male,Pants,Clothing,51,,M,Black,Winter,2.8,Yes,cash,,Yes,Yes,50,Cash,Every 3 Months
22,31,Male,Pants,Clothing,62,,M,Charcoal,Winter,4.1,Yes,cash,,Yes,Yes,22,laybye,Quarterly
23,56,Male,Pants,Clothing,37,,M,Peach,Summer,3.2,Yes,Cash,,Yes,Yes,32,laybye,Annually
24,31,Male,Pants,Clothing,88,,XL,White,Winter,4.4,Yes,laybye,,Yes,Yes,40,Cash,Weekly
25,18,Male,Jacket,Outerwear,22,,M,Green,Fall,2.9,Yes,Cash,,Yes,Yes,16,Cash,Weekly
26,18,Male,Hoodie,Clothing,25,,M,Silver,Summer,3.6,Yes,Bank Transfer,,Yes,Yes,14,PayPal,Annually
27,38,Male,Jewelry,Accessories,20,,M,Red,Spring,3.6,Yes,Cash,,Yes,Yes,13,Credit Card,Annually
28,56,Male,Shorts,Clothing,56,,L,Cyan,Summer,5,Yes,laybye,,Yes,Yes,7,Bank Transfer,Every 3 Months
29,54,Male,Handbag,Accessories,94,,M,Gray,Fall,4.4,Yes,laybye,,Yes,Yes,41,laybye,Every 3 Months
30,31,Male,Dress,Clothing,48,,S,Black,Fall,4.1,Yes,laybye,,Yes,Yes,14,laybye,Weekly
31,57,Male,Jewelry,Accessories,31,,L,Black,Winter,4.7,Yes,Bank Transfer,,Yes,Yes,16,laybye,Monthly
32,33,Male,Dress,Clothing,79,,L,Brown,Winter,4.7,Yes,cash,,Yes,Yes,45,laybye,Monthly
33,36,Male,Jacket,Outerwear,67,,M,Silver,Summer,4.9,Yes,Bank Transfer,,Yes,Yes,37,laybye,Annually
34,54,Male,Pants,Clothing,38,,L,Green,Summer,3.3,Yes,cash,,Yes,Yes,45,Cash,Quarterly
35,36,Male,T-shirt,Clothing,91,,L,Violet,Spring,4.6,Yes,cash,,Yes,Yes,38,laybye,Quarterly
36,54,Male,Blouse,Clothing,33,,M,Cyan,Summer,4,Yes,Bank Transfer,,Yes,Yes,48,Credit Card,Bi-Weekly
37,35,Male,T-shirt,Clothing,69,,M,Maroon,Winter,4.6,Yes,Cash,,Yes,Yes,44,Cash,Fortnightly
38,35,Male,Jeans,Clothing,45,,S,Cyan,Summer,2.8,Yes,cash,,Yes,Yes,10,Cash,Weekly
39,29,Male,Dress,Clothing,37,,M,Red,Winter,3.7,Yes,cash,,Yes,Yes,44,Cash,Every 3 Months
40,70,Male,Pants,Clothing,60,,S,Turquoise,Summer,4.2,Yes,Bank Transfer,,Yes,Yes,18,Cash,Monthly
41,69,Male,Handbag,Accessories,76,,L,Beige,Winter,4.6,Yes,Ecocash,,Yes,Yes,31,Debit Card,Quarterly
42,67,Male,Scarf,Accessories,39,,M,Orange,Spring,4.5,Yes,Cash,,Yes,Yes,40,Ecocash,Annually
